name;classification;province;longitude;latitude;area_type;ownership;district;sub_district;postal_area;postal_address;street_address
Idutywa Nqabara Clinic;CLINIC;Eastern Cape Province;-32,101122;28,454407;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mbhashe Health sub-District;Dutywa Nqabara;"Eastern Cape Province
(-32.101122, 28.454407)";
Clarkson Clinic;CLINIC;Eastern Cape Province;-34,010403;24,348788;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Kouga Health sub-District;Skool Street Clarkson;"Eastern Cape Province
(-34.010403, 24.348788)";
Bhisho Parliament Clinic;SPECIALISED CLINIC;Eastern Cape Province;-32,863183;27,427524;URBAN;Facility Owner - Government - Prov;Buffalo City Metropolitan Municipality;Buffalo City Health sub-District;Bhisho;Eastern Cape Provincial Legislater;Provincial Legislater Building
Ntembeni Clinic;CLINIC;KwaZulu-Natal Province;-29,715798;30,248985;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;The Msunduzi Local Municipality;Tafuleni;Edendale Hopsital;No Adrress
Efata Clinic;CLINIC;Eastern Cape Province;-31,568563;28,71823;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;King Sabata Dalindyebo Health sub-;MTHATHA;EFATA SCHOOL BOX 177;"IT IS SITUATED ON R61 FROM MTHATHA TO NCOBO - RIGHT TURN TO EFATA
SCHOOL - 5KM FROM MTHATHA"
Eksteenfontein Satellite Clinic;SATELLITE CLINIC;Northern Cape Province;-28,825388;17,255423;RURAL;Facility Owner - Government - Local;Namakwa District Municipality;Richtersveld Local Municipality;Eksteenfontein;Eksteenfontein;1328 Straat
Ekuphumleni Clinic;CLINIC;Eastern Cape Province;-32,178409;26,782093;RURAL;Facility Owner - Government - Local;Chris Hani District Municipality;Lukhanji Health sub-District;Whittlesea;Ekuphumleni clinic P/BAG 336 Whittlesea;
Ekuphumuleni Clinic;CLINIC;KwaZulu-Natal Province;-28,78098;31,761099;RURAL;Facility Owner - Government - Prov;Uthungulu District Municipality;uMlalazi Local Municipality;Eshowe;Ekuphumuleni Clinic Private Bag;Ncekwane street
Masincedane Clinic;CLINIC;Eastern Cape Province;-32,686116;27,11374;RURAL;Facility Owner - Government - Local;Amathole District Municipality;Amahlathi Health sub-District;Keiskammahoek;Elukhanyweni Location;
Vaalwater Clinic;CLINIC;Limpopo Province;-24,29443;28,11132;RURAL;Facility Owner - Government - Prov;Waterberg District Municipality;Modimolle Local Municipality;MODIMOLLE;EXTENTION 2 LESEDING STAND 1838;
Thusa Bophelo Clinic;CLINIC;Free State Province;-27,835895;28,978066;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Phumelela Local Municipality;warden;extention2 ezenzelem;1462 ezenzelem warden
Ezimfabeni Clinic;CLINIC;KwaZulu-Natal Province;-28,10519;31,43037;RURAL;Facility Owner - Government - Prov;Zululand District Municipality;Ulundi Local Municipality;;Ezimfabeni Clinic/Ceza Hospital, Bag 200, 3866;
Ntuzuma Clinic;CLINIC;KwaZulu-Natal Province;-29,72779;30,947116;URBAN;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Ntuzuma;F 1309 Ncala Rd;F 1309 Ncala Rd Ntuzuma
Olierivier Satellite Clinic;SATELLITE CLINIC;Northern Cape Province;-28,55493;23,58663;RURAL;Facility Owner - Government - Local;Frances Baard District Municipality;Sol Plaatjie Local Municipality;Olierivier;Farm;
Pierre Van Ryneveld Satellite Clinic;SATELLITE CLINIC;Gauteng Province;-25,84302;28,24329;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane Southern Health sub-District;Pierre van Ryneveld;Faushestreet;
Fish River Clinic;CLINIC;Eastern Cape Province;-31,911817;25,415886;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Inxuba Yethemba Health sub-District;Fish River Shop;Fish River Shop;Fish river Station
Flagstaff Clinic;CLINIC;Eastern Cape Province;-31,080063;29,496124;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;Qaukeni Health sub-District;FLAGSTAFF;FLAGSTAFF;MAIN
Mabheleni Clinic;CLINIC;KwaZulu-Natal Province;-30,44209;30,32103;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;Umzumbe Local Municipality;G.J. Crookes;;Isipofu Road
Nkwali Clinic;CLINIC;KwaZulu-Natal Province;-30,102;30,79818;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;Vulamehlo Local Municipality;G.J. Croookes;;
Moeding Clinic;CLINIC;Limpopo Province;-24,953848;29,457462;RURAL;Facility Owner - Government - Prov;Greater Sekhukhune District Municipality;Ephraim Mogale Local Municipality;;G/Marble Hall Sub District;Private bag x9621, Marble Hall
Qadi Clinic;CLINIC;KwaZulu-Natal Province;-29,66748;30,903122;RURAL;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;kwamashu;G1400 bhejane Road;Umzinyathi area
Maubane Clinic;CLINIC;North West Province;-25,294825;28,278471;RURAL;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Moretele Local Municipality;Maubane Village;G207 Dihibidung, Maubane Village;
Eisleben Clinic;CLINIC;Limpopo Province;-23,51861;29,8415;RURAL;Facility Owner - Government - Local;Capricorn District Municipality;Molemole Local Municipality;Eisleben;Ga-Mmasa 526;
Gaongalelwe Clinic;CLINIC;Free State Province;-29,168317;26,801011;RURAL;Facility Owner - Government - Prov;Mangaung Metropolitan Municipality;Thaba N'chu Health sub-District;Selosesha;Gaongalelwe Clinic, Private Bag X707, Selosesha;Gaongalelwe Clinic, Private Bag X707,
Boekenhout CHC;CLINIC;Gauteng Province;-25,541304;28,301457;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane North West Health sub-;Boekenhout;;
Gcinokuhle Clinic;CLINIC;KwaZulu-Natal Province;-30,25716;30,10782;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Ubuhlebezwe Local Municipality;Highflats;Gcinokuhle clinic;Mazabekweni Area
Bethania Clinic;CLINIC;Eastern Cape Province;-30,659827;28,295921;RURAL;Facility Owner - Government - Prov;Joe Gqabi District Municipality;Elundini Health sub-District;MT FLETCHER;GET CORRESPONDANCE FROM LSA;MAKGAASENG LOCATION
Gilton Clinic;CLINIC;Eastern Cape Province;-32,66184;26,94244;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Nkonkobe Health sub-District;Alice;Gilton location;
Philani Clinic;CLINIC;KwaZulu-Natal Province;-30,25138;30,68312;RURAL;Facility Owner - Government - Local;Ugu District Municipality;Umdoni Local Municipality;Scottburgh;GJ Crookes Hospital;Dududu Rd
Dududu Clinic;CLINIC;KwaZulu-Natal Province;-30,19445;30,60341;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;Vulamehlo Local Municipality;Umzinto;GJ Crookes Hospital;Old Main Road
Mgayi Clinic;CLINIC;KwaZulu-Natal Province;-30,38428;30,47667;RURAL;Facility Owner - Government - Prov;Ugu District Municipality;Umzumbe Local Municipality;Scotburgh;GJ Crookes,Private Bag x 5501;Mzinto North
Glen Grey Hospital;DISTRICT HOSPITAL;Eastern Cape Province;-31,719037;27,199579;URBAN;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;Lady Frere;Glen Grey Hospital P/BAG x 1142 Lady Frere;Indwe Road Lady Frere
Goso Forest Clinic;CLINIC;Eastern Cape Province;-31,38858;29,622249;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;Qaukeni Health sub-District;LUSIKISIKI;GOSO FOREST;
Gottenburg Clinic;CLINIC;Mpumalanga Province;-24,636356;31,410534;RURAL;Facility Owner - Government - Prov;Ehlanzeni District Municipality;Bushbuckridge Local Municipality;Hluvukani;Gottenburg clinic;
Govan Mbeki Clinic;CLINIC;Eastern Cape Province;-33,857166;25,535381;URBAN;Facility Owner - Government - Local;Nelson Mandela Bay Municipality;Nelson Mandela C Health sub-District;Zinyoka;Govan Mbeki Clinic;Govan Mbeki Clinic
Grainvalley Clinic;CLINIC;Eastern Cape Province;-32,237561;28,048927;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mnquma Health sub-District;NQAMAKWE;GRAINVALLEY CLINIC;MANTUNZELENI
Greytown Hospital;DISTRICT HOSPITAL;KwaZulu-Natal Province;-29,067508;30,59998;RURAL;Facility Owner - Government - Prov;Umzinyathi District Municipality;Umvoti Local Municipality;Greytown;Greytown Hopsital P/Bag X5562;Bell Str Extension
Groot Mier Satellite Clinic;SATELLITE CLINIC;Northern Cape Province;-26,73932;20,320576;RURAL;Facility Owner - Government - Local;Siyanda District Municipality;Mier Local Municipality;Groot Mier;Groot Mier;
Gwadana Clinic;CLINIC;Eastern Cape Province;-32,214998;28,290675;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mbhashe Health sub-District;Idutywa;Gwadana Clinic;Gwadana Location
Gwadu Clinic;CLINIC;Eastern Cape Province;-32,220094;28,66811;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mbhashe Health sub-District;Willowvale;Gwadu Clinic;Lowwer Gwadu Location
Modderkuil Clinic;CLINIC;North West Province;-25,124174;27,197283;RURAL;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Moses Kotane Local Municipality;Modderkuil;H/N 1050;
Umzomuhle (Umlazi H) Clinic;CLINIC;KwaZulu-Natal Province;-29,950912;30,86832;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Umlazi;H1432 Umlazi T/shop,P.O umlazi;H1432 Umlazi T/shop
Westdene Clinic;CLINIC;Free State Province;-29,10278;26,20763;URBAN;Facility Owner - Government - Local;Mangaung Metropolitan Municipality;Bloemfontein Health sub-District;Westedene;Haarburg Cresent;
Hambanathi Clinic;CLINIC;KwaZulu-Natal Province;-29,558689;31,11963;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;tongaat;hambanathi;361 thandukwazi road
Delportshoop Clinic;CLINIC;Northern Cape Province;-28,417501;24,307251;RURAL;Facility Owner - Government - Local;Frances Baard District Municipality;Dikgatlong Local Municipality;Delportshoop;Hanekom Straat, Delportshoop;
Aggeneys Clinic;CLINIC;Northern Cape Province;-29,241417;18,842502;RURAL;Facility Owner - Government - Prov;Namakwa District Municipality;Khâi-Ma Local Municipality;Aggeneys;Havelock street Aggeneys;
Rainbow Clinic;CLINIC;Free State Province;-27,553707;28,513282;RURAL;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Mafube Local Municipality;TWEELINES;HAWS DOWSDELANGE STR;
Louterwater Clinic;CLINIC;Eastern Cape Province;-33,792884;23,631313;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Kouga Health sub-District;Louterwater;Hillside Str.;
Hlabatshane Clinic;CLINIC;Eastern Cape Province;-31,745112;28,856835;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;King Sabata Dalindyebo Health sub-;HLABATSHANE CLINIC;HLABATSHANE A/A;
Hlangalane Clinic;CLINIC;Eastern Cape Province;-30,963845;28,529668;RURAL;Facility Owner - Government - Prov;Joe Gqabi District Municipality;Elundini Health sub-District;MT FLETCHER;HLANGALANE CLINIC;RAMATEE LOC
Hlokozi Clinic;CLINIC;KwaZulu-Natal Province;-30,361299;30,293695;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Ubuhlebezwe Local Municipality;HIGH FLATS;HLOKOZI CLINIC;RURAL
Thaba Phatswa Clinic;CLINIC;Free State Province;-29,312954;27,124904;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Mantsopa Local Municipality;Tweespruit;Hobhouse Road;
Misgund Clinic;CLINIC;Eastern Cape Province;-33,762563;23,502387;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Kouga Health sub-District;Misgund;Hoofstraat Misgund;
Askham CHC;CHC;Northern Cape Province;-26,978369;20,783107;RURAL;Facility Owner - Government - Prov;Siyanda District Municipality;Mier Local Municipality;askham;Hoofstraat, Askham;Mainroad
Gadiboe Clinic;CLINIC;Northern Cape Province;-27,07591;23,29435;RURAL;Facility Owner - Government - Prov;John Taolo Gaetsewe District Municipality;Joe Morolong Local Municipality;Gadiboe,;House no. 59E;
Ikageng Clinic;CLINIC;Limpopo Province;-24,57066;29,873476;UNDEVELOPED LAND;Facility Owner - Government - Prov;Greater Sekhukhune District Municipality;Fetakgomo Local Municipality;Gamnela;Ikageng Clinic P.O.Box 3390;Radinawana
Hoedspruit Clinic;CLINIC;Limpopo Province;-24,355627;30,951246;URBAN;Facility Owner - Government - Prov;Mopani District Municipality;Maruleng Local Municipality;Hoedspruit;Impala street;
Lower Seplan Clinic;CLINIC;Eastern Cape Province;-31,712696;27,443542;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Intsika Yethu Health sub-District;Cofimvaba;Intsika Yethu Sub District Private Bag 1250;
Isandlwana Clinic;CLINIC;KwaZulu-Natal Province;-28,360695;30,673117;RURAL;Facility Owner - Government - Prov;Umzinyathi District Municipality;Nquthu Local Municipality;Nqutu;Isandlwana Clinic c/o CJM hospital P/Bag X5503;Maphutshana area Isandlwana
Isilimela Gateway Clinic;CLINIC;Eastern Cape Province;-31,733779;29,359197;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;Nyandeni Health sub-District;PORT ST JOHNS;ISIMILIMELA HOSPITAL P/B X1021;
Isipingo Clinic;CLINIC;KwaZulu-Natal Province;-29,996027;30,920151;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;isipingo;isipingo;3 orient drive
Ixopo Clinic;CLINIC;KwaZulu-Natal Province;-30,147465;30,067067;URBAN;Facility Owner - Government - Prov;Sisonke District Municipality;Ubuhlebezwe Local Municipality;Ixopo;Ixopo;No. 19 Main Road
Nxamalala Clinic (Impendle);CLINIC;KwaZulu-Natal Province;-29,599548;29,770905;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;Impendle Local Municipality;Impendle;Izinga area next to tribal court;Izinga Road
Jamestown Clinic;CLINIC;Eastern Cape Province;-31,130482;26,804023;RURAL;Facility Owner - Government - Prov;Joe Gqabi District Municipality;Maletswai Health sub-District;JAMESTOWN;JAMESTOWN;467 MSOPOMVU STREET
Gxwederha Clinic;CLINIC;Eastern Cape Province;-32,84161;26,78648;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Nkonkobe Health sub-District;Alice;Jami Location;
Ngoabe Clinic;CLINIC;Limpopo Province;-24,87647;29,97694;RURAL;Facility Owner - Government - Prov;Greater Sekhukhune District Municipality;Greater Tubatse Local Municipality;Ngwaabe Jane Furse;Jane Furse Hospital P/Bag x429 Jane Furse 1085;Garantho Village Ngwaabe
Joe Slovo Clinic;CLINIC;Eastern Cape Province;-33,825072;25,50272;URBAN;Facility Owner - Government - Local;Nelson Mandela Bay Municipality;Nelson Mandela B Health sub-District;Despatch;Joe Slovo Squarter area;Andiswaa and Mzwandile street
Krakeel Clinic;CLINIC;Eastern Cape Province;-33,814302;23,7275;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Kouga Health sub-District;Kareel;Kakreel rivier clinic;School Str.
Mankweng Clinic;CLINIC;Limpopo Province;-23,885833;29,727167;URBAN;Facility Owner - Government - Local;Capricorn District Municipality;Polokwane Local Municipality;MOKWENG;KALAFONG STREET;
Kibler Park Clinic;CLINIC;Gauteng Province;-26,319342;28,008914;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Kibler Park;Kenneth Gardens and Summer Street;Kenneth Gardens
Kharkams/Garagams Clinic;CLINIC;Northern Cape Province;-30,37007;17,88799;RURAL;Facility Owner - Government - Prov;Namakwa District Municipality;Kamiesberg Local Municipality;Springbok;Kerk Street;
Kgokgole Clinic;CLINIC;North West Province;-26,71547;23,92194;RURAL;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Kagisano-Molopo Local Municipality;Kgokgole;Kgokgole clinic;Kgokgole clinic
K-Maile Clinic;CHC;Free State Province;-27,38379;26,65739;RURAL;Facility Owner - Government - Prov;Lejweleputswa District Municipality;Nala Local Municipality;kgotsong;kgotsong;6465 mpumdonge
Khunotswana Clinic;CLINIC;North West Province;-25,570857;25,826867;RURAL;Facility Owner - Government - Prov;Ngaka Modiri Molema District Municipality;Ramotshere Moiloa Local Municipality;Zeerust;Khunotswenae Clinic;
Klein Mier Satellite Clinic;SATELLITE CLINIC;Northern Cape Province;-26,738741;20,27786;RURAL;Facility Owner - Government - Prov;Siyanda District Municipality;Mier Local Municipality;Klein Mier;Klein mier;
KwaMashu B Clinic;CLINIC;KwaZulu-Natal Province;-29,746759;30,989959;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Kwamashu;KMBC;B27 isinaka road
Rustenburg Gateway Clinic;CLINIC;North West Province;-25,677115;27,244678;URBAN;Facility Owner - Government - Prov;Bojanala Platinum District Municipality;Rustenburg Local Municipality;Rustenburg;Komando Weg and Hysterk Street Rustenburg;
Komani Hospital;SPECIALISED PSYCHIATRIC HOSPITAL;Eastern Cape Province;-31,918073;26,90732;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Queenstown;Komani Hospital P.O Box 7074 Queenstown;1833 National Road Queenstown
Mgudu Clinic;CLINIC;Eastern Cape Province;-31,478168;28,34699;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Ngcobo Health sub-District;MGUDU;KOMKHULU;
Tsholofelo Clinic;CLINIC;North West Province;-26,891545;26,588953;URBAN;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Matlosana Local Municipality;Jouberton Township;Kopanoung Road Jouberton Location Matlosane;Kopanoung Road Jouberton Location Matlosane
Mogale Clinic;CLINIC;Gauteng Province;-25,99729;27,5358;RURAL;Facility Owner - Government - Prov;West Rand District Municipality;Mogale City Local Municipality;Magaliesberg;Koster road;
Matjieskloof Clinic;CLINIC;Northern Cape Province;-29,670731;17,867211;RURAL;Facility Owner - Government - Local;Namakwa District Municipality;Nama Khoi Local Municipality;Springbok;Kotze street;
Lutzburg Satellite Clinic;SATELLITE CLINIC;Northern Cape Province;-28,74676;20,629985;RURAL;Facility Owner - Government - Prov;Siyanda District Municipality;Kai !Garib Local Municipality;;Kremetartstreet 163, Lutzburg;
Kruisfontein Clinic;CLINIC;Eastern Cape Province;-34,021866;24,746691;RURAL;Facility Owner - Government - Prov;Cacadu District Municipality;Kouga Health sub-District;Humansdorp;Kruisfontein clinic Jacobs Str. Arcadia;Jacobs Str. Arcadia
Civic Centre Clinic (Mthatha);CLINIC;Eastern Cape Province;-31,58265;28,78992;URBAN;Facility Owner - Government - Local;Oliver Tambo District Municipality;King Sabata Dalindyebo Health sub-;MTHATHA;KSD MUNICIPALITY, BOX 45;N2
Jalamba Clinic;CLINIC;Eastern Cape Province;-31,961948;28,68011;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;King Sabata Dalindyebo Health sub-;ELLIOTDALE;KSD Sub District Mthata;TAFALEHEHE LOC
Ku Bengu Clinic;CLINIC;Eastern Cape Province;-32,14341;27,61732;RURAL;;Amathole District Municipality;Amahlathi Health sub-District;Tsomo;Ku Bengu Village Tsomo;Ku Bengu Clinic
Kubusi Clinic;CLINIC;Eastern Cape Province;-32,59433;27,41285;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Amahlathi Health sub-District;Stutterheim;Kubusi village;
Lawley 2 Clinic;CLINIC;Gauteng Province;-26,38272;27,80625;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Ennerdale;Kunenet Makwarella Street,Lawley 2;
Kuruman Clinic;CLINIC;Northern Cape Province;-27,45969;23,44261;RURAL;Facility Owner - Government - Local;John Taolo Gaetsewe District Municipality;Ga-Segonyana Local Municipality;Kuruman;Kuruman hospital;Main street,Kuruman
Kwa-Mkholoza Clinic;CLINIC;Eastern Cape Province;-32,320357;28,594657;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Mbhashe Health sub-District;Willowvale;Kwa-Mkholoza Clinic;Bojeni A/A Willowvale
Mbangwane Clinic;CLINIC;Mpumalanga Province;-25,837438;31,889829;RURAL;Facility Owner - Government - Local;Ehlanzeni District Municipality;Nkomazi Local Municipality;MBANGWANE TRUST;KWALUGEDLANE;P.0.BOX 817
Rydalvale Clinic;CLINIC;KwaZulu-Natal Province;-29,748175;30,970521;URBAN;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;kwamashu;kwamashu;G1400 bhejane road
Kwamashumi Clinic;CLINIC;KwaZulu-Natal Province;-30,339933;30,126558;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Ubuhlebezwe Local Municipality;Kwamashumi clinic,Private Bag X 542;Kwamashumi area;
Newlands Clinic;CLINIC;Eastern Cape Province;-32,878094;27,749394;RURAL;Facility Owner - Government - Prov;Buffalo City Metropolitan Municipality;Buffalo City Health sub-District;x9044;KwaMpundu Village;
Kwazakhele Clinic;CLINIC;Eastern Cape Province;-33,883269;25,591568;URBAN;Facility Owner - Government - Prov;Nelson Mandela Bay Municipality;Nelson Mandela A Health sub-District;Port Elizabeth;Kwazakhele;Behle Street
Kwazakhele CHC;CHC;Eastern Cape Province;-33,87768;25,585444;URBAN;Facility Owner - Government - Prov;Nelson Mandela Bay Municipality;Nelson Mandela A Health sub-District;Kwazakhele;Kwazakhele;Mavuso Road
Bambanani Clinic;CLINIC;KwaZulu-Natal Province;-29,269278;30,847694;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;uMshwathi Local Municipality;Ozwathini;;
Maguzu Clinic;CLINIC;KwaZulu-Natal Province;-29,581533;30,564448;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;Mkhambathini Local Municipality;Maqongqo area;;
Phatheni Clinic;CLINIC;KwaZulu-Natal Province;-29,95411;30,21231;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;Richmond Local Municipality;Richmond;;
Odidini Clinic;CLINIC;KwaZulu-Natal Province;-30,035226;30,680936;RURAL;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;odidini;;
Ekuphileni (Umlazi L) Clinic;CLINIC;KwaZulu-Natal Province;-29,96793;30,86333;RURAL;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;uMlazi L;L1221;Corner kick road
Ndonga Clinic;CLINIC;Eastern Cape Province;-31,625191;27,388479;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;Lady Frere;LA;Ndonga Clinic Hala NO 2
Maqashu Clinic;CLINIC;Eastern Cape Province;-31,743298;27,334743;RURAL;Facility Owner - Government - Local;Chris Hani District Municipality;Emalahleni Health sub-District;Lady Frere;Lady Frere;Mhlontlo Great Place
Mkapusi Clinic;CLINIC;Eastern Cape Province;-31,595162;27,106699;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Emalahleni Health sub-District;Lady Frere;Lady Frere P.O Bravnville;Mkapusi A/A
Lambani Clinic;CLINIC;Limpopo Province;-22,721439;30,83228;RURAL;Facility Owner - Government - Prov;Vhembe District Municipality;Thulamela Local Municipality;LAMBANI VILLAGE;LAMBANI CLINIC;
Ma-Doyle Clinic;CLINIC;Northern Cape Province;-28,717405;24,736665;URBAN;Facility Owner - Other;Frances Baard District Municipality;Sol Plaatjie Local Municipality;Galeshewe;Langstreet, Galeshewe;Langstreet, Galeshewe
Lekoko CHC;CHC;North West Province;-25,930144;25,502942;RURAL;Facility Owner - Government - Prov;Ngaka Modiri Molema District Municipality;Mahikeng Local Municipality;Lekoko;Lekoko Village near Lekoko Primary School;
Botshabelo CHC;CHC;North West Province;-26,854532;26,846289;RURAL;Facility Owner - Government - Local;Dr Kenneth Kaunda District Municipality;Matlosana Local Municipality;Ext 6;Lekoma street;5707 Lekoma street
Keurtjieskloof Clinic;CLINIC;Northern Cape Province;-30,012446;24,730801;RURAL;Facility Owner - Government - Local;Pixley ka Seme District Municipality;Renosterberg Local Municipality;Vanderkloof;Lelie street;Lelie street
Lenasia Ext 2 Clinic;CLINIC;Gauteng Province;-26,32109;27,825311;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Lenasia;Lenasia Civic Centre x2;Cnr Rose and Eland
Frere Gateway Clinic;CLINIC;Eastern Cape Province;-32,996458;27,891186;URBAN;Facility Owner - Government - Prov;Buffalo City Metropolitan Municipality;Buffalo City Health sub-District;Amalinda;Lennox Road Amalinda;Lennox Road Amalinda
Lenye Clinic;CLINIC;Eastern Cape Province;-32,749682;27,086272;RURAL;Facility Owner - Government - Prov;Amathole District Municipality;Amahlathi Health sub-District;Keiskammahoek;Lenye Location;
Thengwe Clinic;CLINIC;Limpopo Province;-22,713675;30,559252;RURAL;Facility Owner - Government - Prov;Vhembe District Municipality;Mutale Local Municipality;mutale;;
Shikundu Clinic;CLINIC;Limpopo Province;-22,829142;30,834466;RURAL;Facility Owner - Government - Prov;Vhembe District Municipality;Thulamela Local Municipality;Shikudu;;
Kheyi Clinic;CLINIC;Limpopo Province;-23,579488;30,873804;RURAL;Facility Owner - Government - Local;Mopani District Municipality;Greater Giyani Local Municipality;Giyani;;
Mokgwathi Clinic;CLINIC;Limpopo Province;-23,584581;30,583006;RURAL;Facility Owner - Government - Prov;Mopani District Municipality;Greater Tzaneen Local Municipality;Bolobedu;;
Humulani Clinic;CLINIC;Limpopo Province;-23,87525;31,060168;RURAL;Facility Owner - Government - Prov;Mopani District Municipality;Ba-Phalaborwa Local Municipality;Lulekani;;
Didimana Clinic;CLINIC;Eastern Cape Province;-32,121421;26,611464;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Whittlesea;Location Whittlesea;Lower Didimana
Lonsdale Clinic;CLINIC;Limpopo Province;-23,61286;29,15572;RURAL;Facility Owner - Government - Prov;Capricorn District Municipality;Aganang Local Municipality;;Lonsdale Village 0710;Lonsdale Village
Lourdes Clinic;CLINIC;KwaZulu-Natal Province;-30,208685;29,705948;RURAL;Facility Owner - Government - Prov;Sisonke District Municipality;Umzimkhulu Local Municipality;Umzimkhulu;Lourdes Clinic;Ediphini Area
Gqaga Clinic;CLINIC;Eastern Cape Province;-31,544896;28,213019;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Ngcobo Health sub-District;NGCOBO;LOWER GQAGA;28km FROM NGCOBO TO MTHATHA R61 LEFT TURN TO GQAGA
Lower Zingcuka Clinic;CLINIC;Eastern Cape Province;-32,718808;27,099369;RURAL;Facility Owner - Other;Amathole District Municipality;Amahlathi Health sub-District;Keiskammahoek;Lower Zingcuka Location;Private Bag
Lowryville Clinic;CLINIC;Northern Cape Province;-30,709284;25,102467;RURAL;Facility Owner - Government - Prov;Pixley ka Seme District Municipality;Umsobomvu Local Municipality;Colesberg;Lowryville;Olivia Single Lowryville Colesberg
Lubisi Clinic;CLINIC;Eastern Cape Province;-31,799026;27,459879;RURAL;;Chris Hani District Municipality;Intsika Yethu Health sub-District;Southyville;Lubisi Southeyville;
Engojini Clinic;CLINIC;Eastern Cape Province;-32,22432;26,753857;RURAL;Facility Owner - Government - Prov;Chris Hani District Municipality;Lukhanji Health sub-District;Whittlesea;Lukhanji LSA Whittlesea;
Braklaagte Clinic;CLINIC;North West Province;-25,386549;26,092993;RURAL;Facility Owner - Government - Local;Ngaka Modiri Molema District Municipality;Ramotshere Moiloa Local Municipality;Zeerust;Lukubu Clinic Private Bag X6338Zeerust;Goo Nonyane Section
